	107	108	109	113
r3.justify.v.02986	1	1	1	1
r3.justify.v.02989	1	1	3	1
r3.justify.v.03008	1	1	1	1
r3.justify.v.03015	1	1	1	1
r3.justify.v.03017	1	1	1	1
r3.justify.v.03020	1	1	3	1
r3.justify.v.03022	1	1	1	1
r3.justify.v.03024	1	1	1	1
r3.justify.v.03034	1	1	3	1
r3.justify.v.03036	1	1	1	1
r3.justify.v.03057	1	1	3	1
r3.justify.v.03059	1	1	3	1
r3.justify.v.03062	1	1	1	1
r3.justify.v.03064	1	1	3	1
r3.justify.v.03069	1	1	1	1
r3.justify.v.03076	1	1	1	1
r3.justify.v.03084	1	1	3	1
r3.justify.v.03088	1	1	1	1
r3.justify.v.03089	1	1	1	1
r3.justify.v.03096	1	1	3	1
r3.justify.v.03099	1	1	3	1
r3.justify.v.03101	1	1	1	1
r3.justify.v.03106	1	1	1	1
r3.justify.v.03109	1	1	3	1
r3.justify.v.03111	1	1	1	1
r3.justify.v.03122	1	1	1	1
r3.justify.v.03125	1	1	1	1
r3.justify.v.03127	1	1	1	1
r3.justify.v.03135	1	1&&2	3	1
r3.justify.v.03136	1	1	3	1
r3.justify.v.03138	1	1	1	1
r3.justify.v.03140	1	1	1	1
r3.justify.v.03142	1	1	1	1
r3.justify.v.03144	1	1&&2	3	1
r3.justify.v.03149	1	1&&3	3	1
r3.justify.v.03151	1	1	1	1
r3.justify.v.03152	1	1	3	1
r3.justify.v.03155	1	1	1	1
r3.justify.v.03158	1	1	1	45
r3.justify.v.03160	1	1	3	1
r3.justify.v.03164	1	1	1	1
r3.justify.v.03165	1	1	1	1
r3.justify.v.03168	1	1	3	1
r3.justify.v.03169	1	1	1	1
r3.justify.v.03173	1	1	3	1
r3.justify.v.03175	1	1	1	1
r3.justify.v.03180	1	1	1	1
r3.justify.v.03184	1	1	1	1
r3.justify.v.03186	1	1	2	1
r3.justify.v.03193	1	1	3	1
r3.justify.v.03195	1	1	1	1
r3.justify.v.03196	1	1	1	1
r3.justify.v.03200	1	1	1	1
r3.justify.v.03202	1	1	1	1
r3.justify.v.03204	1	1	1	1
r3.justify.v.03205	1	1	1	1
r3.justify.v.03208	1	1	1	1
r3.justify.v.03209	1	1	1	1
r3.justify.v.03218	1	1	1	1
r3.justify.v.03226	1	1	1	1
r3.justify.v.03228	1	1	1	1
r3.justify.v.03231	1	1	1	1
r3.justify.v.03233	1	1	1	1
r3.justify.v.03234	1	1	1	1
r3.justify.v.03235	1	1	1	1
r3.justify.v.03237	1	1	1	1
r3.justify.v.03241	1	1	3	1
