uri,album,genre,year,label
http://dbpedia.org/resource/Estrangement_(album),Estrangement (album),Pagan metal/Doom metal/Black metal/Folk metal,2007,Supernal Music
http://dbpedia.org/resource/Blood_in_Our_Wells,Blood in Our Wells,Pagan metal/Black metal,2006,Supernal Music
http://dbpedia.org/resource/Forgotten_Legends,Forgotten Legends,Pagan metal/Black metal,2003,Supernal Music
http://dbpedia.org/resource/Anti-Urban,Anti-Urban,Doom metal/Black metal,2007,Supernal Music
http://dbpedia.org/resource/Eternal_Turn_of_the_Wheel,Eternal Turn of the Wheel,Black metal,2012,Season of Mist
http://dbpedia.org/resource/Slavonic_Chronicles,Slavonic Chronicles,Black metal,2010,Season of Mist
http://dbpedia.org/resource/Microcosmos_(Drudkh_album),Microcosmos (Drudkh album),Black metal,2009,Season of Mist
http://dbpedia.org/resource/The_Swan_Road,The Swan Road,Black metal,2005,Supernal Music
http://dbpedia.org/resource/A_Furrow_Cut_Short,A Furrow Cut Short,Black metal,2015,Season of Mist
http://dbpedia.org/resource/Autumn_Aurora,Autumn Aurora,Black metal,2004,Supernal Music
http://dbpedia.org/resource/Handful_of_Stars,Handful of Stars,Black metal/Post-rock,2010,Season of Mist
http://dbpedia.org/resource/Songs_of_Grief_and_Solitude,Songs of Grief and Solitude,Folk music/Ambient music,2006,Supernal Music
